,Payload,CruiseSpeed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio,CylinderFraction,UsefulPayload,FuelCapacity,AirshipVolume_ft,Diameter,Length,Footprint,RequiredHorsepower,Boat Job Loss,Crop Loss,Income,Forest Loss,Time Savings
0,5.0,20.0,3.0,0.3,0.01,3.0,0.0,4.95,0.05,584795.321637427,22.71060987734149,68.13182963202448,1547.3154030024027,3.076687586919346,-1.0,-609.8060840920788,1702.046943302643,-336529.8835113649,2956.234364139984
1,5.0,50.0,3.0,0.3,0.05,3.0,0.0,4.75,0.25,584795.321637427,22.71060987734149,68.13182963202448,1547.3154030024027,48.07324354561478,-2.0,-656.6505226832468,1702.046943302643,-344710.73687737994,6591.118742150304
2,15.0,20.0,3.0,0.3,0.05,3.0,0.0,14.25,0.75,1754385.964912281,32.75436733701495,98.26310201104485,3218.5457389443354,6.399768078135532,-4.0,-610.99780519363,3540.4003128387694,-342034.1457583257,5197.187423922194
3,15.0,50.0,3.0,0.3,0.1,3.0,0.0,13.5,1.5,1754385.964912281,32.75436733701495,98.26310201104485,3218.5457389443354,99.99637622086766,-6.0,-611.3530238888992,3540.4003128387694,-389966.8619377576,8308.828602759962
4,10.0,35.0,3.0,0.3,0.075,3.0,0.0,9.25,0.75,1169590.643274854,28.613575440412966,85.84072632123889,2456.210098452612,26.174850459910495,-1.0,-610.333854521418,2701.8311082978735,-343437.13467414305,5879.901533894398
