,Payload,CruiseSpeed,FleetSize,PayloadFraction,FuelTankFraction,FinenessRatio,CylinderFraction,UsefulPayload,FuelCapacity,AirshipVolume_ft,Diameter,Length,Footprint,RequiredHorsepower,Boat Job Loss,Crop Loss,Income,Forest Loss,Time Savings
0,28.222222222,45.353535354,3.0,0.3,0.1,3.0,0.0,25.3999999998,2.8222222222,3300844.704327486,40.43609404985198,121.30828214955594,4905.233106025424,113.73854113398602,-5.0,-656.5028498432936,5395.756416627966,-398577.5853732368,8590.03370000008
1,23.272727273,29.797979798,3.0,0.3,0.1,3.0,0.0,20.945454545700002,2.3272727273,2721956.406198831,37.91879744197941,113.75639232593822,4313.505598337592,28.366476487852413,-5.0,-652.9988498432936,4744.856158171352,-345508.4520384874,8463.2103454543
2,1.0,14.949494949,3.0,0.3,0.1,3.0,0.0,0.9,0.1,116959.0643274854,13.281245225395768,39.84373567618731,529.1744242112937,0.4394333074852631,-1.0,-639.1518498432936,582.0918666324231,-351140.30089500546,-82.1286
3,13.373737374,75.050505051,3.0,0.3,0.1,3.0,0.0,12.036363636599999,1.3373737374,1564179.8098245615,31.525094162206102,94.5752824866183,2981.494685807884,313.2632581955163,-5.0,-657.0548498432936,3279.6441543886726,-445627.8461228609,8553.6852636353
4,36.141414141,56.666666667,3.0,0.3,0.1,3.0,0.0,32.5272727269,3.6141414141,4227065.981403509,43.91105209732784,131.7331562919835,5784.541488882718,261.6173268781727,-9.0,-658.4658498432935,6362.9956377709905,-473358.68591959914,8714.9327
5,35.646464646,62.323232323,3.0,0.3,0.1,3.0,0.0,32.081818181399996,3.5646464646,4169177.1515789484,43.709678977119964,131.1290369313599,5731.60810884865,344.85852018042175,-8.0,-658.4658498432935,6304.768919733516,-499876.0027214382,8709.84001818186
6,30.202020202,76.464646465,3.0,0.3,0.1,3.0,0.0,27.1818181818,3.0202020202,3532400.0236257315,41.360342538375846,124.08102761512754,5132.033804675348,570.2773550319395,-5.0,-658.2208498432935,5645.237185142883,-706741.7574704383,8624.1819909091
7,13.868686869,36.161616162,3.0,0.3,0.1,3.0,0.0,12.4818181821,1.3868686869,1622068.6396491227,31.90929750547207,95.7278925164162,3054.6098018781777,35.90159973759447,-1.0,-618.2607589358936,3360.070782065996,-348161.2716850713,6999.593654543509
8,9.9090909091,17.777777778,3.0,0.3,0.1,3.0,0.0,8.91818181819,0.99090909091,1158958.0010643275,28.526603550013053,85.57981065003916,2441.301330298852,3.4093247478866346,-5.0,-647.3488498432936,2685.431463328737,-342412.9828258939,4038.6398
9,42.080808081,48.181818182,3.0,0.3,0.1,3.0,0.0,37.8727272729,4.2080808081,4921731.939298246,46.19555111268321,138.58665333804964,6402.086827813582,177.98593190068337,-10.0,-658.4658498432935,7042.295510594941,-455716.85068053566,8727.502999999999
10,26.737373737,29.090909091,3.0,0.3,0.1,3.0,0.0,24.0636363633,2.6737373737,3127178.2148538013,39.71412921446231,119.14238764338694,4731.636177789027,28.953281095688272,-5.0,-654.9438498432935,5204.79979556793,-351563.4653346557,8560.20207272734
11,18.818181818,42.525252525,3.0,0.3,0.1,3.0,0.0,16.9363636362,1.8818181818,2200956.937777778,35.32628885166924,105.97886655500773,3743.8400520947116,71.56036603937574,-5.0,-646.3129407518935,4118.224057304183,-363707.6733138766,8013.113545455199
12,43.565656566,19.898989899,3.0,0.3,0.1,3.0,0.0,39.209090909400004,4.3565656566,5095398.428771931,46.73262935703393,140.19788807110177,6551.815939865727,12.831261221494508,-5.0,-611.3898498432935,7206.997533852301,-398198.9791905624,5136.812799999998
13,25.747474747,34.747474747,3.0,0.3,0.1,3.0,0.0,23.172727272299998,2.5747474747,3011400.555204679,39.217840498968584,117.65352149690575,4614.117040207621,48.114160650072435,-5.0,-654.2628498432936,5075.528744228384,-361682.1423863438,8553.29106363662
14,4.9595959596,33.333333333,3.0,0.3,0.1,3.0,0.0,4.46363636364,0.49595959596,580069.702877193,22.649270996934284,67.94781299080284,1538.9684300777055,14.167085349265664,-1.0,-609.7998498432935,1692.8652730854762,-348082.1612930563,2346.068290909023
15,33.171717172,53.131313131,3.0,0.3,0.1,3.0,0.0,29.8545454548,3.3171717172000004,3879733.0025731004,42.673812716646204,128.0214381499386,5463.162875326186,203.66216712678008,-8.0,-655.6064862076936,6009.479162858805,-446378.83097943384,8690.8906272726
16,6.4444444444,63.03030303,3.0,0.3,0.1,3.0,0.0,5.79999999996,0.64444444444,753736.1923274855,24.715379895549972,74.14613968664992,1832.5500101440673,114.05611753214771,-4.0,-656.8188498432136,2015.8050111584741,-374263.4415742606,7291.9366000007185
17,5.4545454545,18.484848485,3.0,0.3,0.1,3.0,0.0,4.90909090905,0.54545454545,637958.5326900586,23.378949023718974,70.13684707115692,1639.7257723609512,2.5741477554900674,0.0,-655.1488498432935,1803.6983495970464,-336133.20934267715,1676.7629818187743
18,14.858585859,80.0,3.0,0.3,0.1,3.0,0.0,13.3727272731,1.4858585859,1737846.2992982457,32.65111037140037,97.95333111420112,3198.2850254561067,407.0068225017695,-8.0,-645.2729407590936,3518.113528001718,-491684.4203588688,8694.27075454415
19,2.4848484848,38.282828283,3.0,0.3,0.1,3.0,0.0,2.23636363632,0.24848484848000002,290625.5537777778,17.98893419462933,53.96680258388799,970.8052603761131,13.538131573651498,0.0,-656.6498498432935,1067.8857864137244,-334268.0288788867,2803.2726090928627
20,34.656565657,28.383838384,3.0,0.3,0.1,3.0,0.0,31.1909090913,3.4656565657000002,4053399.4920467837,43.30127026145804,129.90381078437412,5625.000018767491,31.970576505398874,-5.0,-655.7038498432936,6187.500020644241,-368349.5134761194,8573.3885
21,32.181818182,21.313131313,3.0,0.3,0.1,3.0,0.0,28.9636363638,3.2181818182,3763955.342923977,42.24503308350411,126.73509925051233,5353.928460679071,12.883353088278835,-5.0,-617.1308498432935,5889.321306746978,-367939.20032033883,6605.257599999999
22,5.9494949495,26.96969697,3.0,0.3,0.1,3.0,0.0,5.35454545455,0.59494949495,695847.3625146201,24.06571831188593,72.19715493565779,1737.4763936011254,8.471526555903559,-1.0,-609.7998498432935,1911.2240329612382,-339626.81191124534,3425.1735727271835
23,15.353535354,65.151515152,3.0,0.3,0.1,3.0,0.0,13.8181818186,1.5353535354,1795735.1291228072,33.00970121701193,99.0291036510358,3268.921123309197,224.69456370578976,-7.0,-653.2911225780936,3595.813235640117,-423902.24648211524,8577.76113636234
24,9.4141414141,11.414141414,3.0,0.3,0.1,3.0,0.0,8.47272727269,0.94141414141,1101069.171239766,28.043509873569167,84.1305296207075,2359.3153380869144,0.8720277416418083,-4.0,-647.3488498432936,2595.246871895606,-349932.97082489775,2182.6161
25,1.9898989899,50.303030303,3.0,0.3,0.1,3.0,0.0,1.7909090909099998,0.19898989899,232736.72396491226,16.705102296458808,50.11530688937643,837.1813282054601,26.486010181289277,-1.0,-652.1107589342135,920.8994610260062,-346087.117608652,2735.7873454545033
26,18.323232323,48.888888889,3.0,0.3,0.1,3.0,0.0,16.4909090907,1.8323232323,2143068.1079532164,35.01381974688205,105.04145924064615,3677.902719801442,106.81821163769042,-5.0,-644.6118498432935,4045.6929917815864,-378490.0395698226,7923.486445455339
27,4.4646464646,10.707070707,3.0,0.3,0.1,3.0,0.0,4.01818181814,0.44646464646000006,522180.87305263174,21.86928010788563,65.60784032365689,1434.7962373114863,0.4377405755717214,-3.0,-647.3488498432936,1578.275861042635,-341855.15325051686,2030.7297545454876
28,46.535353535,23.434343434,3.0,0.3,0.1,3.0,0.0,41.8818181815,4.6535353535,5442731.40760234,47.771234909683315,143.31370472904996,6846.272654388438,21.899143298121775,-5.0,-650.6008498432935,7530.899919827282,-386372.1361931423,8037.8211999999985
29,36.636363636,78.585858586,3.0,0.3,0.1,3.0,0.0,32.9727272724,3.6636363636000002,4284954.81122807,44.110594998846146,132.33178499653843,5837.233773456692,704.1332574517858,-9.0,-658.4658498432935,6420.957150802362,-761637.2566115903,8715.97012727276
30,47.03030303,66.565656566,3.0,0.3,0.1,3.0,0.0,42.327272727,4.703030303,5500620.237426901,47.94000275058257,143.8200082517477,6894.731591177593,505.45510534155926,-10.0,-658.4658498432935,7584.204750295353,-738182.3863239293,8727.502999999999
31,48.02020202,41.818181818,3.0,0.3,0.1,3.0,0.0,43.218181818,4.8020202020000005,5616397.897076024,48.27401894470308,144.82205683410925,6991.142715220656,127.07443016522338,-10.0,-658.4658498432935,7690.256986742722,-445942.7360481438,8727.502999999999
32,46.04040404,12.828282828,3.0,0.3,0.1,3.0,0.0,41.436363635999996,4.604040404,5384842.577777779,47.601266110597834,142.8037983317935,6797.641605995849,3.5667971093660102,-4.0,-647.3488498432936,7477.405766595435,-413983.66108180303,2182.6161
33,14.363636364,17.070707071,3.0,0.3,0.1,3.0,0.0,12.9272727276,1.4363636364,1679957.4694736844,32.28446516997563,96.8533955099269,3126.860073934109,3.8661396809865214,-5.0,-647.3488498432936,3439.5460813275204,-351636.354948448,3899.7744999999995
34,38.616161616,52.424242424,3.0,0.3,0.1,3.0,0.0,34.7545454544,3.8616161616,4516510.130526315,44.89126359723277,134.6737907916983,6045.676642068708,216.4990366158882,-9.0,-658.4658498432935,6650.244306275579,-463004.5275881984,8717.93069090912
35,1.4949494949,77.171717172,3.0,0.3,0.1,3.0,0.0,1.34545454541,0.14949494949,174847.8941403509,15.186148272263587,45.55844481679076,691.857298041523,79.0324748729923,-1.0,-651.0805771157535,761.0430278456754,-380778.0375269507,2856.252327275791
36,50.0,19.191919192,3.0,0.3,0.1,3.0,0.0,45.0,5.0,5847953.21637427,48.92852575152524,146.78557725457574,7182.001896653007,12.61871983449098,-4.0,-656.7388498432936,7900.202086318308,-412172.5206393078,3229.6744999999983
37,21.787878788,49.595959596,3.0,0.3,0.1,3.0,0.0,19.6090909092,2.1787878788,2548289.9167251466,37.094578939650034,111.2837368189501,4128.023360129783,125.16865985188588,-5.0,-652.8748498432935,4540.825696142762,-390212.57814689167,8363.605072727
38,38.121212121,67.272727273,3.0,0.3,0.1,3.0,0.0,34.3090909089,3.8121212121,4458621.300701754,44.69864547351493,134.09593642054477,5993.906721500929,453.56720689337527,-9.0,-658.4658498432935,6593.2973936510225,-540013.1076909816,8718.02669090911
39,25.252525253,61.616161616,3.0,0.3,0.1,3.0,0.0,22.7272727277,2.5252525253000004,2953511.7254970768,38.96491503988404,116.89474511965213,4554.793812196145,264.8300159931149,-5.0,-654.2628498432936,5010.27319341576,-447531.76138338586,8539.99075454507
40,16.838383838,75.757575758,3.0,0.3,0.1,3.0,0.0,15.154545454199999,1.6838383838,1969401.6184795322,34.04125770311865,102.12377310935597,3476.4216780304055,375.6861799504198,-7.0,-658.4658498432935,3824.0638458334465,-466148.4801375428,8680.33101818244
41,45.050505051,30.505050505,3.0,0.3,0.1,3.0,0.0,40.5454545459,4.505050505100001,5269064.918245615,47.25763862628315,141.77291587884946,6699.853225597109,47.27103347565973,-6.0,-658.2208498432935,7369.83854815682,-397171.492761164,8644.3236
42,12.383838384,24.848484848,3.0,0.3,0.1,3.0,0.0,11.1454545456,1.2383838384,1448402.150175439,30.727263695460433,92.1817910863813,2832.4942026310823,10.801481612759252,-1.0,-613.6798498432936,3115.7436228941906,-333369.86626856076,6609.703354544319
43,40.595959596,77.878787879,3.0,0.3,0.1,3.0,0.0,36.5363636364,4.0595959596,4748065.449824562,45.64568541258877,136.9370562377663,6250.585790355058,733.8255592519184,-9.0,-658.4658498432935,6875.644369390564,-782161.5629229657,8725.389827272718
44,47.525252525,46.060606061,3.0,0.3,0.1,3.0,0.0,42.7727272725,4.7525252525,5558509.067251462,48.107590625264606,144.32277187579382,6943.020827304141,168.63665369306767,-10.0,-658.4658498432935,7637.322910034555,-463692.9203552371,8727.502999999999
45,15.848484848,44.646464646,3.0,0.3,0.1,3.0,0.0,14.2636363632,1.5848484848000002,1853623.9588304095,33.3606659831279,100.0819979493837,3338.8021045134815,73.85271512317756,-4.0,-627.3813043856935,3672.68231496483,-365431.81045735814,7447.445845456639
46,24.757575758,47.474747475,3.0,0.3,0.1,3.0,0.0,22.281818182200002,2.4757575758000003,2895622.895672515,38.708662715400976,116.12598814620293,4495.081707644021,119.54740239764166,-5.0,-654.2628498432936,4944.589878408423,-393879.97256739903,8522.780863636019
47,21.292929293,63.737373737,3.0,0.3,0.1,3.0,0.0,19.1636363637,2.1292929293,2490401.0869005853,36.81153546586327,110.43460639758982,4065.2674300635285,261.6291787843956,-7.0,-651.4327589343935,4471.794173069882,-438418.02841939963,8621.803254545339
48,19.313131313,69.393939394,3.0,0.3,0.1,3.0,0.0,17.381818181699998,1.9313131313,2258845.7676023394,35.63332591276759,106.89997773830277,3809.2017468165423,316.38301890555863,-6.0,-657.9708498432935,4190.121921498197,-453882.1261912612,8447.07741818196
49,29.707070707,55.95959596,3.0,0.3,0.1,3.0,0.0,26.7363636363,2.9707070707,3474511.1938011697,41.13315974942229,123.39947924826687,5075.810492914482,221.07705626771374,-5.0,-658.2208498432935,5583.391542205931,-443487.8587980275,8618.07345454548
50,39.111111111,31.919191919,3.0,0.3,0.1,3.0,0.0,35.1999999999,3.9111111111000003,4574398.960350878,45.08224279509604,135.24672838528812,6097.225846307967,49.283609701125535,-9.0,-658.4658498432935,6706.948430938764,-386743.6082429476,8706.5469
51,49.01010101,72.222222222,3.0,0.3,0.1,3.0,0.0,44.109090909,4.901010101000001,5732175.556725147,48.603475787029524,145.81042736108856,7086.8935757410945,663.5643051245776,-10.0,-658.4658498432935,7795.582933315204,-788987.7358779232,8727.502999999999
52,12.878787879,60.202020202,3.0,0.3,0.1,3.0,0.0,11.5909090911,1.2878787879000002,1506290.9800000002,31.13129061417773,93.39387184253319,2907.471765913171,157.67515442605904,-3.0,-656.8758498432935,3198.2189425044885,-391933.89048016677,8332.094463635389
53,20.303030303,27.676767677,3.0,0.3,0.1,3.0,0.0,18.2727272727,2.0303030303000003,2374623.4272514624,36.232009082522225,108.69602724756668,3938.275446467919,20.752324798857877,-5.0,-649.4418498432935,4332.102991114712,-336626.73715397855,8239.737000000088
54,16.343434343,25.555555556,3.0,0.3,0.1,3.0,0.0,14.709090908699999,1.6343434342999998,1911512.7886549707,33.704397634297635,101.1131929028929,3407.9592596725442,14.13724998801551,-4.0,-631.3898498432935,3748.755185639799,-332294.8279576758,7541.389409092589
55,30.696969697,70.808080808,3.0,0.3,0.1,3.0,0.0,27.6272727273,3.0696969697000003,3590288.853450293,41.58505664846014,124.75516994538042,5187.9508093669165,457.7821802696901,-6.0,-658.2208498432935,5706.745890303609,-519884.5835842658,8638.38901818181
56,24.262626263,71.515151515,3.0,0.3,0.1,3.0,0.0,21.8363636367,2.4262626263000002,2837734.065847954,38.44897191894294,115.34691575682882,4434.970324870988,403.1804553929972,-8.0,-653.9038498432935,4878.467357358088,-487989.4388347729,8677.44029090899
57,37.626262626,72.929292929,3.0,0.3,0.1,3.0,0.0,33.8636363634,3.7626262626,4400732.470877193,44.504352802825636,133.51305840847692,5941.912255195123,572.8577682084715,-9.0,-658.4658498432935,6536.103480714636,-730403.6425898727,8715.81527272732
